DISTRICT,ANNUAL
NICOBAR,2805.2
SOUTH ANDAMAN,3015.7
N & M ANDAMAN,2913.3
LOHIT,3043.8
EAST SIANG,4034.7
SUBANSIRI F.D,1300.4
TIRAP,3571.5
ANJAW (LOHIT),3043.8
LOWER DIBANG,2553.3
CHANGLANG,3543.9
PAPUM PARE,3378.2
LOW SUBANSIRI,1921.1
UPPER SIANG,4402.1
WEST SIANG,2440.7
DIBANG VALLEY,2553.3
WEST KAMENG,3399.4
EAST KAMENG,2030.9
TAWANG(W KAME,3399.4
KURUNG KUMEY,2221.5
CACHAR,2999.2
DARRANG,1957.8
GOALPARA,2575.3
KAMRUP,1813.4
LAKHIMPUR,2859.3
NORTH CACHAR,1977.5
NAGAON,1660.1
SIVASAGAR,1811.6
BARPETA,3274.6
DHUBRI,2702.6
DIBRUGARH,2556.6
JORHAT,2083
KARIMGANJ,3650.8
KOKRAJHAR,3772.2
SHONITPUR,1978.5
GOLAGHAT,1680.7
TINSUKIA,2485.3
HAILAKANDI,2645.6
DHEMAJI(LAKHI,2859.3
KARBI ANGLONG,1341
UDALGURI(DARA,1957.8
KAMRUP METROP,1813.4
CHIRANG(BONGAI,3218.7
BAKSA BARPETA,3274.6
BONGAIGAON,3218.7
MORIGAON,1743.5
NALBARI,2356.6
EAST KHASI HI,6166.1
JAINTIA HILLS,6379.9
EAST GARO HIL,2554.4
RI-BHOI,2116.9
SOUTH GARO HI,2459.8
W KHASI HILL,3643
WEST GARO HIL,2459.8
IMPHAL EAST,1839.2
SENAPATI,1922.6
TAMENGLONG,7229.3
CHANDEL,2647.5
UKHRUL,1549
THOUBAL,1286.3
BISHNUPUR,2127.5
IMPHAL WEST,1530.9
CHURACHANDPUR,2337.4
AIZAWL,2814.4
CHAMPHAI,2168.6
KOLASIB,2660
LUNGLEI,2731.1
CHHIMTUIPUI,2814.4
LAWNGTLAI,2557.6
MAMIT,2814.4
SAIHA,2480.6
SERCHHIP,2505.8
KOHIMA,1824.8
TUENSANG,2080
MOKOKCHUNG,2409.8
DIMAPUR,1305.9
WOKHA,2497.7
MON,1339.9
ZUNHEBOTO,2080
PHEK,1824.8
KEPHRIE,2080
LONGLENG,2080
PEREN,1824.8
NORTH TRIPURA,2641.8
SOUTH TRIPURA,2475.4
WEST TRIPURA,2286.7
DHALAI,2512.6
COOCH BEHAR,3443.7
DARJEELING,3118.5
JALPAIGURI,3468.3
MALDA,1419.4
SOUTH DINAJPUR,1584.9
NORTH DINAJPUR,1727.6
NORTH SIKKIM,3094.5
EAST SIKKIM,2582.2
WEST SIKKIM,3094.5
SOUTH SIKKIM,2582.2
BANKURA,1330.9
BIRBHUM,1392.8
BURDWAN,1315.2
HOOGHLY,1418.7
HOWRAH,1600
PURULIA,1363.3
MURSHIDABAD,1391.1
NADIA,1261.6
NORTH 24 PARG,1559.8
SOUTH 24 PARG,2088
EAST MIDNAPOR,1669.6
WEST MIDNAPOR,1535.5
KOLKATA,1709.2
BALASORE,1679
BOLANGIR,1370.8
KANDHAMAL/PHU,1448.3
CUTTACK,1519.7
DHENKANAL,1469
GANJAM,1304.5
KALAHANDI,1403
KEONDJHARGARH,1436.7
KORAPUT,1622.5
MAYURBHANJ,1660.7
PURI,1416.2
SAMBALPUR,1533.5
SUNDARGARH,1347.8
BHADRAK,1507.4
JAJPUR,1541.3
KENDRAPARA,1540.6
ANGUL,1362
NAWAPARA,1197.4
MALKANGIRI,1572.7
NAWARANGPUR,1660.5
NAYAGARH,1450.1
KHURDA,1469.5
BARGARH,1264.9
JHARSUGUDA,1474.3
DEOGARH,1533.5
RAYAGADA,1326.9
GAJAPATI,1462.1
JAGATSINGHAPU,1565
BOUDHGARH,1448.3
SONEPUR,1395.4
BOKARO,1247.5
DHANBAD,1355.2
DUMKA,1381.5
HAZARIBAG,1196
PALAMU,1095.9
RANCHI,1403.2
SAHIBGANJ,1553.7
WEST SINGHBHUM,1305.6
DEOGHAR,1162.1
GIRIDIH,1252.7
GODDA,1144.4
GUMLA,1421.3
LOHARDAGA,1197.1
CHATRA,1171.9
KODERMA,1116.2
PAKUR,1612.4
EAST SINGHBHU,1292.7
GARHWA,1041.8
SERAIKELA-KHA,1359.6
JAMTARA,1476
LATEHAR,1191.5
SIMDEGA,1573.1
KHUNTI(RANCHI,1482.8
